Sample_name	aae	aau	aca	aga	age	ahy	aja	aly	ama	ame	amg	api	aqc	aqu	asu	ata	ath	atr	bbe	bcy	bdi	bfl	bfv	bgy	bhv1	bhv5	bkv	blv	bma	bmo	bna	bol	bpcv2	bra	bta	cbn	cbr	cca	ccr	cel	cfa	cgr	chi	cin	cla	cme	cpa	cqu	cre	crm	csa	csi	cte	dan	ddi	der	dev	dgr	dme	dmo	dpe	dpr	dps	dpu	dre	dse	dsi	dvi	dwi	dya	ebv	eca	efu	egr	emu	esi	far	fru	gga	ggo	ghr	gma	gra	gsa	gso	han	har	hbr	hbv	hci	hcmv	hco	hex	hhi	hhv6b	hiv1	hma	hme	hpa	hru	hsa	hsv1	hsv2	hvsa	hvt	hvu	iltv	ipu	isc	jcv	kshv	lca	lco	lgi	lja	lla	lmi	lus	lva	mcmv	mcv	mdm	mdo	mdv1	mdv2	mes	meu	mghv	mja	mml	mmu	mne	mse	mtr	ngi	nlo	nta	nve	nvi	oan	oar	ocu	odi	oha	ola	osa	pab	pbi	pde	peu	pgi	pin	pma	pmi	pol	ppa	ppc	ppe	ppt	ppy	pra	prd	prv	psj	pta	ptc	pti	ptr	pvu	pxy	rco	rgl	rlcv	rmi	rno	rrv	sbi	sci	sha	sja	sko	sla	sly	sma	sme	smo	smr	sof	spu	ssa	ssc	ssl	ssp	ssy	str	stu	sv40	tae	tca	tcc	tch	tgu	tni	tur	vun	vvi	xbo	xla	xtr	zma
WTCHG_189135_284_1.trimmed.bowtie_against_all_mature.sam	125	2	42	2	0	4	1	139	0	77	0	7	2	36	31	26	37	24	26	0	244	37	30	0	13	9	0	2	40	187	4	0	0	29	297	41	18	44	10	186	75	23	58	49	1	7	13	8	75	27	0	6	35	2	2	0	76	0	198	1	0	0	54	4	99	1	25	19	1	1	42	255	182	1	1	29	2	3	363	36	5	182	105	27	0	0	0	9	14	1	16	47	0	5	5	42	3	21	0	0	1299	12	12	0	5	15	5	28	2	0	21	0	0	56	2	0	5	1	3	27	0	10	270	4	62	2	0	3	2	113	978	0	116	184	0	0	20	629	0	102	34	1	12	24	3	296	4	0	10	6	2	0	206	0	1	1	161	48	37	207	0	45	7	0	3	50	2	68	6	98	0	5	279	6	198	17	36	1	1	31	114	1	26	17	60	6	0	0	3	77	56	0	0	0	25	91	4	29	107	1	3	1740	3	17	0	56	0	2	4	22
WTCHG_189135_285_1.trimmed.bowtie_against_all_mature.sam	284	6	121	10	1	15	1	372	1	147	0	45	13	73	94	190	99	59	49	0	743	87	2	0	5	11	0	7	117	483	10	4	0	43	846	117	51	135	15	553	226	60	116	81	0	19	27	25	170	41	0	16	88	2	2	3	185	1	402	3	2	0	122	11	335	3	91	53	1	2	114	575	326	0	1	66	2	9	944	57	8	382	248	87	0	1	0	15	82	0	45	148	0	11	11	91	5	49	0	0	2745	33	30	0	22	53	25	34	2	0	63	1	0	165	5	0	0	3	2	26	0	44	758	8	205	7	1	10	8	255	2452	0	467	451	0	1	16	324	2	344	122	3	38	96	16	772	7	0	27	59	3	0	569	3	2	0	406	42	50	534	0	188	11	0	3	197	44	151	14	231	0	10	935	33	581	68	76	1	5	86	289	2	37	60	172	41	1	0	22	226	203	0	0	0	66	262	5	50	373	2	13	555	4	53	0	235	11	3	26	84
WTCHG_189135_286_1.trimmed.bowtie_against_all_mature.sam	113	1	48	2	0	3	0	177	0	84	0	11	5	32	39	23	45	43	21	2	324	33	46	0	18	11	0	5	42	223	6	1	0	28	520	34	19	33	1	219	159	16	55	65	0	7	27	6	77	38	0	10	33	0	1	0	82	0	136	1	1	0	99	6	114	3	18	16	2	0	49	330	194	1	0	34	1	3	415	25	12	172	86	29	1	0	0	4	17	0	12	28	0	7	7	35	3	34	0	0	1800	19	28	0	13	31	11	16	2	0	24	0	0	31	10	0	2	1	0	15	0	17	276	5	97	6	0	8	2	113	1681	0	111	244	0	0	5	241	0	148	68	0	16	23	15	347	7	0	5	15	5	0	237	0	0	0	176	170	46	262	1	74	7	1	9	62	18	58	4	179	0	5	306	12	194	28	22	0	1	30	103	1	19	16	53	5	0	1	8	79	73	0	1	0	27	85	0	26	125	0	11	2607	1	21	0	46	4	0	10	30
WTCHG_189135_288_1.trimmed.bowtie_against_all_mature.sam	103	2	30	1	2	2	0	83	0	39	0	13	5	23	24	18	31	11	16	0	195	18	106	0	13	2	0	2	26	144	8	1	0	15	271	21	13	21	6	158	53	15	23	44	0	2	14	7	60	13	0	2	23	2	4	1	55	0	126	0	2	0	31	1	81	0	17	19	2	0	40	191	116	0	0	31	1	2	221	17	15	143	71	14	1	0	0	6	9	1	6	34	0	9	1	33	4	3	0	0	1026	13	6	0	5	15	6	15	0	0	10	1	0	33	6	0	10	0	1	19	0	5	183	2	66	2	0	5	5	81	799	2	126	96	0	0	3	510	0	82	19	0	7	20	6	235	4	0	4	4	1	0	125	0	1	0	125	44	64	176	0	34	1	1	5	36	8	33	3	62	0	7	338	8	136	19	18	0	2	22	74	4	1	7	59	8	0	0	4	61	49	0	2	1	10	63	4	14	94	1	7	1612	1	9	0	21	1	0	6	17
WTCHG_189135_289_1.trimmed.bowtie_against_all_mature.sam	262	1	77	6	7	9	5	277	1	134	2	44	6	88	85	138	74	47	57	2	557	64	72	1	12	7	1	3	86	406	18	7	0	47	622	79	61	80	13	382	189	46	86	137	1	12	33	26	123	75	0	9	80	0	2	3	144	2	303	4	5	1	96	12	232	2	82	55	5	1	115	555	340	0	0	38	3	5	750	54	16	325	227	66	1	3	0	14	46	0	44	122	0	10	12	69	4	44	0	0	2645	14	16	0	10	39	15	54	8	0	48	1	0	66	15	0	5	3	2	18	0	39	619	13	142	3	0	10	1	231	1968	2	316	373	3	0	21	448	3	258	108	3	50	75	15	625	7	0	19	36	5	0	508	6	3	1	381	259	93	481	2	152	7	0	10	143	12	115	13	255	0	10	594	11	384	63	61	0	2	54	189	1	26	33	118	20	0	0	8	179	136	1	1	0	47	167	3	68	301	2	13	1117	5	50	0	88	6	3	16	69
WTCHG_189135_290_1.trimmed.bowtie_against_all_mature.sam	13	0	5	0	0	1	0	4	0	25	0	2	0	0	1	2	0	3	5	0	23	8	24	0	5	0	0	5	2	12	0	0	0	2	49	1	4	0	0	33	30	2	2	1	0	0	1	1	8	8	0	2	3	2	0	0	0	0	10	0	0	0	7	0	3	0	1	2	0	0	0	53	22	0	0	15	0	0	55	6	0	8	2	3	1	0	0	0	0	0	1	5	0	9	1	1	0	2	0	0	398	3	5	0	1	0	1	6	0	0	0	0	0	1	0	0	1	0	1	4	0	0	36	0	1	2	0	1	0	52	369	0	0	11	0	0	0	27	0	40	3	1	0	3	0	51	0	0	0	0	4	0	13	1	0	0	26	3	4	30	0	5	1	0	0	3	0	5	0	2	0	1	4	1	11	2	1	0	0	1	0	0	1	8	0	0	0	0	3	7	1	0	0	0	1	1	0	1	26	0	1	523	0	0	0	1	0	0	3	2
WTCHG_189135_291_1.trimmed.bowtie_against_all_mature.sam	14	0	26	1	0	0	0	28	0	22	0	17	2	3	10	17	17	13	4	0	78	18	81	0	6	2	0	0	11	55	0	0	0	3	379	8	14	4	0	101	43	13	17	25	0	2	14	3	56	21	0	3	6	1	0	0	5	0	45	0	0	0	24	2	12	0	8	16	1	0	6	145	117	2	0	50	3	0	173	22	17	82	32	6	0	0	0	2	6	1	3	32	0	4	4	0	2	4	0	0	858	10	2	0	1	13	1	13	1	0	4	0	0	3	2	0	3	0	2	30	0	4	75	1	17	0	0	1	1	51	788	0	2	33	0	0	4	379	0	63	8	0	4	11	2	188	1	0	4	0	1	0	16	0	0	0	60	8	24	261	0	35	2	0	2	18	1	39	0	26	0	1	9	2	67	4	8	0	1	7	5	1	2	4	6	2	0	0	4	11	36	0	0	0	5	23	0	5	45	0	2	4467	1	4	0	3	0	1	3	10
WTCHG_189135_292_1.trimmed.bowtie_against_all_mature.sam	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
WTCHG_189135_293_1.trimmed.bowtie_against_all_mature.sam	18	0	14	0	1	0	0	16	0	14	0	2	0	2	11	6	6	3	1	1	44	9	63	0	3	1	0	0	1	39	3	0	0	2	207	6	7	5	0	56	17	8	8	13	0	1	11	0	27	12	0	1	4	0	2	0	2	1	21	0	0	0	11	0	5	0	7	9	1	0	4	83	59	0	0	32	6	0	100	7	9	36	16	5	0	0	0	1	6	0	0	16	0	2	3	13	0	2	0	0	513	4	3	0	3	10	0	13	0	0	4	0	0	1	2	0	1	2	2	19	0	3	51	0	9	0	0	2	0	28	434	1	1	25	0	0	2	183	0	35	9	0	3	10	0	78	0	0	1	0	1	0	10	0	0	0	48	5	16	157	0	20	2	0	5	6	0	14	0	25	0	1	4	3	25	4	3	0	0	9	2	0	5	3	7	2	0	0	2	16	12	0	1	0	8	15	0	4	25	0	1	2514	0	2	0	1	1	0	1	5
WTCHG_189136_274_1.trimmed.bowtie_against_all_mature.sam	97	3	10	0	0	4	0	61	0	79	0	6	2	11	25	17	27	20	9	0	109	21	125	1	11	2	0	0	18	133	2	0	1	14	124	14	15	7	3	86	41	13	13	28	0	0	18	3	20	45	0	3	8	2	1	0	23	0	43	1	0	0	37	2	42	1	5	12	2	0	15	86	128	0	0	22	3	0	192	10	16	102	47	11	0	0	0	0	9	0	6	36	0	1	6	16	1	8	0	0	871	3	0	0	3	12	4	32	1	0	13	0	0	7	2	0	6	0	1	27	0	4	97	3	20	1	0	2	0	95	540	0	55	86	0	0	2	613	1	59	11	0	8	12	4	177	4	0	2	3	1	0	77	0	0	1	142	54	21	114	0	64	0	0	2	37	4	37	1	47	0	2	173	1	84	23	11	0	1	19	32	1	4	9	23	5	0	0	2	32	21	0	1	0	13	34	1	17	49	0	1	77	1	7	0	8	0	0	2	9
WTCHG_189136_275_1.trimmed.bowtie_against_all_mature.sam	117	2	28	1	1	2	0	55	0	83	0	8	2	6	36	25	28	17	11	1	164	35	132	0	20	3	0	1	15	187	2	0	0	17	310	20	33	16	2	91	61	31	20	37	0	4	17	18	51	55	2	2	12	0	1	2	23	1	86	1	0	0	50	2	39	0	18	20	2	0	13	182	162	1	0	29	4	0	256	14	15	102	61	24	0	0	0	1	12	0	7	38	0	4	5	11	4	11	0	0	1241	12	6	0	1	15	8	30	1	0	10	0	0	10	4	0	3	1	3	35	0	8	166	1	51	2	0	1	1	99	634	0	78	176	0	0	6	491	2	87	16	0	10	14	7	257	1	0	2	5	1	0	113	5	0	0	123	57	21	134	1	72	3	0	0	66	4	35	0	59	0	2	233	4	151	12	10	0	1	13	47	0	11	8	34	4	0	0	9	32	22	0	0	0	15	36	1	19	79	1	1	98	2	13	0	17	1	1	4	10
WTCHG_189136_276_1.trimmed.bowtie_against_all_mature.sam	85	1	21	2	1	1	0	111	1	31	0	5	1	7	19	14	13	7	6	3	71	24	154	0	10	2	0	1	22	74	2	1	0	19	227	15	21	11	3	103	30	12	19	28	0	3	11	0	24	6	0	3	7	0	1	0	7	0	77	0	0	0	20	2	17	1	2	12	1	1	6	147	114	1	0	38	3	0	179	16	17	150	43	9	0	0	0	1	2	0	4	24	0	2	3	15	3	7	0	0	1257	7	3	0	4	21	4	21	0	0	6	0	1	7	4	0	10	1	2	32	0	3	78	1	13	1	0	2	1	70	579	1	17	57	0	0	2	286	0	72	19	0	10	12	4	186	1	0	1	1	1	0	50	2	0	0	87	34	17	128	0	50	3	0	2	21	3	31	1	35	0	2	28	7	51	12	8	1	0	15	11	0	5	3	27	4	0	0	3	36	19	0	0	0	10	30	0	14	87	1	1	2576	0	6	0	4	0	0	1	8
WTCHG_189136_277_1.trimmed.bowtie_against_all_mature.sam	58	1	27	0	0	2	0	52	0	24	0	4	2	9	20	12	6	9	6	0	62	11	61	1	4	2	0	1	10	88	2	0	0	1	203	10	16	4	3	37	25	15	17	26	0	0	11	0	16	9	0	4	4	2	0	0	13	1	116	0	0	0	15	1	16	0	2	7	0	0	4	115	124	0	0	30	1	1	178	9	20	79	21	6	0	0	0	2	6	0	3	23	0	1	0	1	1	7	0	0	838	3	6	0	0	9	5	23	0	0	15	0	0	3	0	0	7	1	3	22	0	4	92	4	8	1	0	0	0	38	529	2	5	160	0	0	7	375	0	64	10	0	2	13	3	125	0	0	3	4	0	0	37	1	0	0	47	28	17	91	0	30	4	0	4	31	2	37	0	67	0	2	26	3	63	9	11	0	1	6	11	0	7	7	11	3	0	0	1	23	20	0	1	0	8	21	1	6	43	0	0	1917	1	7	0	4	1	0	2	8
WTCHG_189136_278_1.trimmed.bowtie_against_all_mature.sam	84	0	43	0	0	0	0	55	0	21	0	8	5	7	36	22	10	20	25	2	78	23	63	1	16	3	0	1	26	84	1	0	0	7	435	10	47	4	2	89	37	21	16	25	0	1	22	3	10	7	0	1	8	0	4	2	7	0	171	0	0	0	19	3	21	1	2	14	1	1	3	191	139	0	1	31	0	0	195	6	16	94	26	16	0	0	0	2	5	1	6	33	0	1	5	1	0	6	0	0	942	11	5	0	2	7	2	15	0	0	11	0	0	0	1	0	11	0	0	35	0	7	108	2	10	1	0	1	0	61	809	4	5	68	0	0	4	249	0	64	13	0	4	11	2	139	4	0	2	1	1	0	34	0	0	0	88	23	13	103	0	48	2	0	4	44	1	29	0	43	0	1	17	5	152	9	7	0	0	12	8	0	6	6	23	2	0	0	1	39	20	0	3	0	13	25	0	2	45	1	1	3373	0	4	0	7	0	0	1	8
WTCHG_189136_279_1.trimmed.bowtie_against_all_mature.sam	172	3	59	2	2	0	0	116	0	63	0	6	2	9	36	31	31	30	14	0	165	33	41	0	30	5	0	1	27	175	2	0	0	15	247	38	15	20	6	156	59	29	39	45	0	1	10	5	41	13	0	5	16	0	0	0	49	3	299	0	1	1	56	3	60	1	16	15	0	0	23	200	236	0	0	31	1	2	376	23	22	116	69	18	0	0	0	1	14	0	7	24	0	5	5	20	0	11	0	0	1545	11	5	0	7	16	11	56	1	0	44	0	0	29	4	0	23	0	1	38	0	23	204	2	37	3	0	2	0	86	978	0	93	172	1	0	7	391	2	109	36	1	9	34	6	315	4	0	9	11	0	0	154	2	1	1	131	60	32	182	0	72	4	1	2	55	1	56	1	99	0	3	157	12	181	34	14	1	2	22	76	0	11	7	63	6	0	0	4	51	53	0	1	0	17	63	0	26	76	4	4	3563	2	32	0	24	1	1	5	10
WTCHG_189136_280_1.trimmed.bowtie_against_all_mature.sam	55	0	8	0	0	1	0	48	0	27	0	6	1	11	34	11	8	8	3	1	66	20	139	1	13	4	0	1	12	107	1	0	0	3	288	10	41	3	0	54	35	16	4	19	0	0	22	3	21	27	0	0	6	0	3	1	8	0	90	0	0	0	14	1	24	0	4	13	0	0	5	110	107	1	0	41	0	0	117	6	10	121	25	16	0	0	0	0	9	0	1	16	0	2	6	9	1	4	0	0	1156	7	2	0	3	4	4	11	1	0	13	0	0	2	2	0	12	1	1	19	0	2	125	3	19	0	0	2	0	58	551	0	12	67	0	0	4	795	0	47	12	0	6	14	2	142	1	0	6	2	0	0	30	0	1	0	60	29	26	80	1	28	1	1	1	21	2	35	0	42	0	6	32	2	85	8	15	0	0	8	12	0	3	2	10	1	0	0	2	36	10	0	0	0	6	18	0	6	51	2	2	2799	2	4	0	4	0	0	1	12
WTCHG_189136_281_1.trimmed.bowtie_against_all_mature.sam	251	2	54	4	2	6	1	263	0	96	1	19	3	53	35	36	40	42	32	2	352	72	78	0	12	6	0	5	41	286	12	0	0	20	407	52	33	36	9	249	111	39	71	52	0	6	28	8	136	21	1	12	67	0	4	2	81	2	195	1	2	0	69	5	155	1	34	44	1	1	55	398	403	0	2	36	4	2	542	33	26	282	151	30	0	0	0	12	23	3	27	74	0	6	13	51	5	27	1	0	2606	31	10	0	9	30	10	19	1	0	29	0	1	65	8	0	12	1	5	53	0	15	392	4	79	7	0	3	2	201	1351	0	16	185	1	1	20	1384	0	173	47	0	10	48	10	452	6	0	3	14	3	0	257	2	2	1	186	79	49	448	1	115	6	0	3	99	6	95	3	173	0	10	524	16	279	42	56	1	2	67	104	1	11	19	86	15	0	0	17	107	67	0	0	0	31	98	5	25	211	1	9	6746	3	24	1	71	1	1	11	41
