miR-10b1	miR-10b2	miR-10b3	miR-10b4	miR-cont1	miR-cont2	miR-cont3	miR-cont4
ENSG00000007202.10	7858.52429399332	9078.66310250624	9092.70217388854	9715.82398485762	7635.23699792971	8716.19806869616	9103.63145410897	8788.05056993625
ENSG00000007237.14	143.61553973251	114.832819783052	19.7925602392001	83.7571033177381	115.446882442924	119.788286508518	9.14529334601861	133.382307515074
ENSG00000007255.6	210.504969196967	259.109952330989	344.390548162082	277.264893741478	276.023000749899	277.981977851829	289.600955957256	297.1280671474
ENSG00000007264.9	303.953436831135	162.925197299031	140.527177698321	231.054078117898	295.963825899131	192.941438574789	139.211687600505	202.78448378308
ENSG00000007312.8	442.650636161847	522.145813030629	595.756063199924	477.511761443656	452.341875753637	555.963955703658	561.927468927588	466.295871800665
ENSG00000007314.7	2.95100424107898	0	1.97925602392001	4.81362662745622	0	2.74324320248515	5.08071852556589	3.25322701256278
ENSG00000007341.14	158.370560937905	199.239849709056	228.604070762762	139.59517219623	175.26935789062	153.621619339169	234.729195881144	139.888761540199
ENSG00000007350.12	39.3467232143864	52.9997629767932	18.8029322272401	13.4781545568774	34.6340647328771	41.1486480372773	24.3874489227163	14.0973170544387
ENSG00000007376.3	763.326430359096	839.162913799226	816.443109867005	921.328136495119	813.375762666052	915.328815229213	876.932017512673	755.833075918752
ENSG00000007384.11	3.93467232143864	1.96295418432567	0.989628011960007	0	3.14855133935246	1.82882880165677	1.01614370511318	1.08440900418759
ENSG00000007392.12	1013.17812277045	557.478988348491	525.492474350763	565.11976606336	1129.28041371442	614.486477356674	621.879947529265	607.269042345052
ENSG00000007402.7	129.844186607475	59.8701026219331	37.6058644544802	33.6953863921935	145.882878723331	54.864864049703	29.4681674482822	31.4478611214402
ENSG00000007516.9	3.93467232143864	5.88886255297702	7.91702409568005	2.88817597647373	3.14855133935246	1.82882880165677	3.04843111533954	2.16881800837519
ENSG00000007520.3	824.313851341395	941.236531384161	983.690243888247	955.986248212804	793.43493751682	1004.02701210957	972.449525793312	855.598704304011
ENSG00000007541.10	576.429495090761	459.331279132208	381.006784604603	438.040023098516	616.066545399965	448.977470806737	372.924739776537	396.893695532659
ENSG00000007545.11	577.41316317112	415.16480998488	329.546127982682	389.903756823953	517.411936766921	404.171165166146	344.472716033367	425.088329641536
ENSG00000007866.14	32.4610466518688	19.6295418432567	22.7614442750802	49.0989916000534	22.0398593754672	13.7162160124258	18.2905866920372	30.3634521172526
ENSG00000007923.11	1551.24456272718	1416.27144399097	1461.68057366493	1377.65994077797	1642.49428202887	1447.51799651133	1391.10073229994	1196.10313161891
ENSG00000007944.10	544.952116519252	429.886966367323	579.922015008564	456.331804282849	599.274271590085	442.576570000938	541.604594825324	515.094276989107
ENSG00000007952.13	0	0	0	1.92545065098249	0	0	0	1.08440900418759
ENSG00000007968.6	2641.14879576569	2708.87677436943	3511.2001864341	2895.87777907766	2767.57662729081	3264.45941095733	3854.23307349429	3297.68778173447
ENSG00000008018.8	2766.07464197136	3257.52246888846	3834.80854634503	3401.30857496056	2735.04159678417	3050.48644116349	3606.29400944667	3028.75434869595
ENSG00000008056.8	9.8366808035966	13.7406792902797	15.8340481913601	9.62725325491243	14.6932395836448	5.4864864049703	18.2905866920372	10.8440900418759
ENSG00000008083.9	1258.11147478001	1141.45785818538	1064.83974086897	1265.98380302098	1220.58840255564	1114.6711546098	1050.69259108703	1373.94620830568
ENSG00000008086.6	35.4120508929478	41.2220378708392	30.6784683707602	29.8444850902285	30.4359962804071	41.1486480372773	16.2582992818109	23.856998092127
ENSG00000008118.5	4.9183404017983	1.96295418432567	1.97925602392001	1.92545065098249	1.04951711311749	1.82882880165677	2.03228741022636	1.08440900418759
ENSG00000008128.18	77.7097783484131	47.1109004238162	18.8029322272401	43.3226396471059	98.6546086330437	47.549548843076	29.4681674482822	33.6166791298154
ENSG00000008130.11	1412.54736339647	1301.43862420792	1263.75497127293	1291.01466148376	1492.41333485307	1257.31980113903	1279.32492473749	1209.11603966917
ENSG00000008226.15	83.6117868305711	28.4628356727223	5.93776807176004	12.5154292313862	97.6050915199262	19.2027024173961	10.1614370511318	18.4349530711891
ENSG00000008256.11	110.170825000282	105.999525953586	77.1909849328805	101.086159176581	120.694468008511	91.4414400828384	69.0977719476961	137.719943531824
ENSG00000008277.10	86.5627910716501	69.6848735435614	50.4710286099603	51.9871675765271	78.7137834838115	52.1216208472179	48.7748978454326	56.3892682177548
ENSG00000008282.3	1529.60386495927	2054.23155389682	2395.88941695518	1980.32599453549	1537.54257071712	1977.87834899179	2516.98795756534	2050.61742691874
ENSG00000008283.11	573.478490849682	550.608648703352	274.126959312922	335.028413270953	540.501313255505	562.364856509456	280.455662611237	390.387241507533
ENSG00000008294.16	2148.3310875055	2182.80505297015	2287.03033563958	2268.18086685737	2248.06565629766	2331.75672211238	2274.12961204329	2344.49226705358
